relative_score,most_popular_searches,geo,keyword,category
100,denim jacket black,GB,denim jacket,0
75,mens denim jacket,GB,denim jacket,0
56,womens denim jacket,GB,denim jacket,0
44,denim oversized jacket,GB,denim jacket,0
34,white denim jacket,GB,denim jacket,0
32,denim fur jacket,GB,denim jacket,0
29,denim jacket men,GB,denim jacket,0
25,asos denim jacket,GB,denim jacket,0
25,asos,GB,denim jacket,0
25,women denim jacket,GB,denim jacket,0
25,levis denim jacket,GB,denim jacket,0
24,levis,GB,denim jacket,0
24,topshop,GB,denim jacket,0
24,denim jacket topshop,GB,denim jacket,0
24,cropped denim jacket,GB,denim jacket,0
24,denim jackets,GB,denim jacket,0
23,denim jacket new look,GB,denim jacket,0
22,blue denim jacket,GB,denim jacket,0
22,new look,GB,denim jacket,0
22,denim shirt jacket,GB,denim jacket,0
21,denim shirt,GB,denim jacket,0
21,denim jacket ladies,GB,denim jacket,0
20,pink denim jacket,GB,denim jacket,0
17,denim dress,GB,denim jacket,0
17,long denim jacket,GB,denim jacket,0
100,denim dress shirt,GB,denim dress,0
99,denim shirt,GB,denim dress,0
98,shirt dress,GB,denim dress,0
73,denim pinafore,GB,denim dress,0
72,pinafore denim dress,GB,denim dress,0
69,pinafore dress,GB,denim dress,0
66,black denim dress,GB,denim dress,0
64,denim dress uk,GB,denim dress,0
52,denim jacket,GB,denim dress,0
47,denim look dress,GB,denim dress,0
44,dresses,GB,denim dress,0
43,denim skirt,GB,denim dress,0
42,new look denim dress,GB,denim dress,0
40,denim dresses,GB,denim dress,0
39,new look,GB,denim dress,0
38,womens denim dress,GB,denim dress,0
38,white denim dress,GB,denim dress,0
35,white dress,GB,denim dress,0
35,asos denim dress,GB,denim dress,0
34,denim dress next,GB,denim dress,0
33,asos,GB,denim dress,0
33,dungaree dress,GB,denim dress,0
31,denim dungaree dress,GB,denim dress,0
30,topshop,GB,denim dress,0
29,zara denim dress,GB,denim dress,0
100,black denim skirt,GB,denim skirt,0
98,black denim,GB,denim skirt,0
98,black skirt,GB,denim skirt,0
54,white skirt,GB,denim skirt,0
53,white denim skirt,GB,denim skirt,0
36,denim dress,GB,denim skirt,0
36,topshop denim skirt,GB,denim skirt,0
35,mini skirt,GB,denim skirt,0
34,midi denim skirt,GB,denim skirt,0
33,topshop,GB,denim skirt,0
33,midi skirt,GB,denim skirt,0
33,denim mini skirt,GB,denim skirt,0
29,denim skirt uk,GB,denim skirt,0
29,new look denim skirt,GB,denim skirt,0
27,new look,GB,denim skirt,0
25,denim jacket,GB,denim skirt,0
24,denim shirt,GB,denim skirt,0
24,denim skirts,GB,denim skirt,0
